date,scope,rainfall_mm,source,processing_time_utc
2026-08-21,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:33.175902+00:00
2026-08-22,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:33.695150+00:00
2026-08-22,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:34.502730+00:00
2026-08-23,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:34.954746+00:00
2026-08-23,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:35.776184+00:00
2026-08-24,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:36.409744+00:00
2026-08-24,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:37.292491+00:00
2026-08-25,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:37.888523+00:00
2026-08-25,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:39.778026+00:00
2026-08-26,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:40.209709+00:00
2026-08-26,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:40.921414+00:00
2026-08-27,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:42.050603+00:00
2026-08-27,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:42.930510+00:00
2026-08-28,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:43.536504+00:00
2026-08-28,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:44.523834+00:00
2026-08-29,carbon_project_zone,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:44.997960+00:00
2026-08-29,project_area,0.0,NASA/GPM_L3/IMERG_V07,2026-08-30T08:29:45.628503+00:00
